City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1422,Amboasary,MG,76.84,scattered clouds,-25.0333,46.3833,DISCOVERY AMBOASARY
1440,Kerema,PG,76.78,overcast clouds,-7.9631,145.7785,Frena Lodge
1443,Sundargarh,IN,78.69,overcast clouds,22.1167,84.0333,Sankara City
1454,Kot Samaba,PK,78.71,clear sky,28.5522,70.4684,Nadeem Sweet Mart
1458,Bumba,CD,77.27,overcast clouds,2.1833,22.4667,Père Carlos
1468,Sibolga,ID,77.59,heavy intensity rain,1.7427,98.7792,Hotel Syariah CN Darussalam
1474,Baculin,PH,78.91,broken clouds,7.4525,126.5842,Baculin Cove Beach Resort
1484,Ibaiti,BR,77.07,moderate rain,-23.8486,-50.1878,Hotel Moraes
1488,Dera Bugti,PK,77.76,clear sky,29.0307,69.151,Nawab Bugti House
1491,Pitanga,BR,75.79,light rain,-24.7572,-51.7614,Hotel Santa Carmem
1493,Kenitra,MA,79.72,overcast clouds,34.261,-6.5802,Bienvenue chez vous
1503,Lazaro Cardenas,MX,79.63,clear sky,17.9583,-102.2,quinta antigua
1509,Kampot,KH,78.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
1534,Bundaberg,AU,77.22,broken clouds,-24.85,152.35,Takalvan Motel
1537,Pulivendla,IN,78.94,overcast clouds,14.4167,78.2333,Kothabalaji
1544,Alvinopolis,BR,75.94,overcast clouds,-20.1067,-43.0489,Hotel São Geraldo
1550,Nha Trang,VN,77.0,moderate rain,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
1557,Alyangula,AU,78.67,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
1573,Kokopo,PG,77.94,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
1578,Maracas,BR,79.56,broken clouds,-13.4411,-40.4308,Pousada Vale Aprazível
1590,Dicabisagan,PH,77.83,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
1610,Gualaquiza,EC,77.05,light rain,-3.4,-78.55,Hotel Merceditas
1624,Ruiru,KE,79.83,scattered clouds,-1.1606,36.9567,Overstone Park Hotel
1638,Cam Ranh,VN,76.96,broken clouds,11.9214,109.1591,OYO 598 Peony Hotel
1659,Vallenar,CL,78.93,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
1666,Tank,PK,77.61,clear sky,32.2217,70.3793,Gula Jan Abdulai
1667,Shenzhen,CN,76.21,light rain,22.5455,114.0683,Shenzhen Shanghai Hotel
1678,Ranong,TH,78.71,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
1680,Puerto Madero,MX,79.0,broken clouds,14.7208,-92.4215,Hospedaje madero
1693,Qurayyat,SA,78.98,broken clouds,31.3318,37.3428,Mozon Furnished Aprtments
1706,Pinheiro Machado,BR,75.06,overcast clouds,-31.5783,-53.3811,Hotel e Restaurante Quitandinha
1713,Arawa,PG,76.95,overcast clouds,-6.2132,155.5367,Coastline Guest House
1714,Oussouye,SN,78.98,light rain,12.485,-16.5469,Auberge du Routard
1722,Townsville,AU,77.88,broken clouds,-19.25,146.8,Rydges Southbank Townsville
1734,Bima,ID,79.48,overcast clouds,-8.4667,118.7167,Lambitu Hotel
1769,Ypsonas,CY,76.17,scattered clouds,34.6884,32.9574,Club Aphrodite
1774,Dholka,IN,75.58,broken clouds,22.7167,72.4667,jalalpur godhaneshwer
1776,Dolores,AR,79.11,clear sky,-36.3132,-57.6792,Apart Hotel - Arianos
1782,La Orilla,MX,79.41,clear sky,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
1784,Kandara,IN,76.6,clear sky,25.7191,73.2765,Herman singh Rathore
1786,Paka,MY,78.73,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA
1795,Banda Aceh,ID,79.0,light rain,5.5577,95.3222,Sulthan Hotel International
1809,Suratgarh,IN,78.48,clear sky,29.3167,73.9,Maharaja Hotel
1830,Tazmalt,DZ,77.5,overcast clouds,36.3868,4.3989,Hôtel Numédia
1840,Hendrina,ZA,76.28,clear sky,-26.1588,29.7153,Macrest
1847,Bontang,ID,76.87,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
1852,Nicoya,CR,78.35,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
1871,Surat Thani,TH,76.98,light rain,9.1667,99.25,Suankafae Resort
1872,Bhadrachalam,IN,76.24,moderate rain,17.6667,80.8833,Hotel Srinidhi Residency
1879,Mangrol,IN,79.92,broken clouds,21.1167,70.1167,Hotel The Royal Honours
1883,Japura,ID,75.97,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
1900,Acari,PE,76.06,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
1905,Kuala Terengganu,MY,78.75,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
1913,San Rafael,AR,75.04,broken clouds,-34.6177,-68.3301,Hotel San Rafael
1933,Thiruvananthapuram,IN,78.78,mist,8.4833,76.9167,Hotel Residency Tower
1936,Puerto Leguizamo,CO,77.83,moderate rain,-0.1934,-74.7819,la casona de juancho
1948,Atambua,ID,77.97,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
1959,Murshidabad,IN,75.34,clear sky,24.1833,88.2667,Hotel Raymond
1970,Rawah,IQ,79.72,overcast clouds,34.4816,41.9093,ديوان الشيخ نامق محسن الراوي
1976,Tepalcatepec,MX,75.0,scattered clouds,19.1833,-102.85,Maria De Jesus
1991,Fomboni,KM,78.69,clear sky,-12.28,43.7425,Auberge les abou
1994,Barranca De Upia,CO,78.76,overcast clouds,4.5696,-72.9668,HOTEL GUAICARAMO
2007,Santa Cruz Cabralia,BR,79.03,scattered clouds,-16.2781,-39.0247,Puerto Princesa Inn
2015,Marang,MY,78.71,overcast clouds,5.2056,103.2059,DBarakah Homestay
2027,Danshui,CN,76.01,light rain,22.7984,114.4672,Grand Skylight International Hotel Huizhou
2039,Srivardhan,IN,79.47,few clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
2042,Buloh Kasap,MY,78.71,broken clouds,2.5536,102.764,Teratak Ixora Segamat
2050,Neiafu,TO,77.68,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
2051,Jonuta,MX,77.2,clear sky,18.0833,-92.1333,Hotel There
2052,Orai,IN,75.22,clear sky,25.9833,79.4667,Capital O 66652 Hotel Manokamal
2061,Bantogon,PH,79.3,broken clouds,6.5333,124.0333,Kalamansig Greenhome
