,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Mar Del Plata,AR,-38.0023,-57.5575,64.87,92,1,15.99,clear sky
81,Tiksi,RU,71.6872,128.8694,-3.66,98,100,7.09,overcast clouds
82,Jiangyou,CN,31.7667,104.7167,60.49,79,100,3.02,light rain
83,Evensk,RU,61.95,159.2333,10.02,73,16,9.73,few clouds
84,Barwadih,IN,23.8333,84.1167,66.02,65,35,2.64,scattered clouds
85,Isangel,VU,-19.55,169.2667,74.75,84,3,4.59,clear sky
86,Ancud,CL,-41.8697,-73.8203,50.68,48,1,8.01,clear sky
87,Yaan,NG,7.3833,8.5667,90.12,49,100,3.18,overcast clouds
88,Saskylakh,RU,71.9167,114.0833,4.35,93,100,11.03,overcast clouds
89,Yueyang,CN,29.3333,113.0919,65.43,58,1,3.91,light rain
90,Kutum,SD,14.2,24.6667,88.56,10,11,7.61,few clouds
91,Bethel,US,41.3712,-73.414,61.38,97,91,7.02,overcast clouds
92,Novosergiyevka,RU,52.0934,53.6528,43.86,72,100,12.17,overcast clouds
93,Hobart,AU,-42.8794,147.3294,52.27,65,75,4.0,broken clouds
94,Dwarka,IN,22.2394,68.9678,82.4,47,48,10.76,scattered clouds
95,Payo,ID,-3.7508,103.6372,75.13,96,70,1.99,moderate rain
96,Maragogi,BR,-9.0122,-35.2225,82.54,57,13,9.22,few clouds
97,Coromandel,BR,-18.4733,-47.2003,83.91,40,98,11.3,overcast clouds
98,Victoria,HK,22.2855,114.1577,77.32,81,49,1.01,light rain
99,Yumen,CN,40.2833,97.2,43.29,35,2,8.25,clear sky
100,Maldonado,UY,-34.6667,-54.9167,74.03,65,70,13.13,broken clouds
101,Fort Nelson,CA,58.8053,-122.7002,27.86,54,3,4.41,clear sky
102,Burnley,GB,53.8,-2.2333,55.4,88,48,15.88,light rain
103,Klaksvik,FO,62.2266,-6.589,47.32,85,100,11.18,overcast clouds
104,Provideniya,RU,64.3833,-173.3,13.39,84,98,11.07,overcast clouds
