City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
57,Bilma,NE,2021-10-24 21:25:27,18.6853,12.9164,86.04,11,0,6.38
58,Tondano,ID,2021-10-24 21:25:27,1.3038,124.9112,66.29,92,48,0.11
59,Makakilo City,US,2021-10-24 21:25:27,21.3469,-158.0858,82.72,60,1,6.91
60,Upernavik,GL,2021-10-24 21:25:28,72.7868,-56.1549,15.53,68,62,8.9
61,Paamiut,GL,2021-10-24 21:25:28,61.994,-49.6678,30.97,43,0,15.17
62,Narsaq,GL,2021-10-24 21:20:37,60.9167,-46.05,32.22,51,100,6.2
63,Show Low,US,2021-10-24 21:25:28,34.2542,-110.0298,69.51,30,1,20.71
64,Kaitangata,NZ,2021-10-24 21:20:53,-46.2817,169.8464,55.54,83,95,2.3
65,Hobart,AU,2021-10-24 21:21:57,-42.8794,147.3294,50.02,73,90,4.0
66,Arraial Do Cabo,BR,2021-10-24 21:25:29,-22.9661,-42.0278,75.06,83,75,5.75
67,Mutata,CO,2021-10-24 21:25:29,7.2441,-76.4356,80.98,87,85,2.06
68,Manokwari,ID,2021-10-24 21:25:29,-0.8667,134.0833,77.56,77,100,2.86
69,Menongue,AO,2021-10-24 21:25:30,-14.6585,17.691,71.8,60,35,4.52
70,Kankaanpaa,FI,2021-10-24 21:25:30,61.8,22.4167,47.16,98,100,8.16
71,Sechura,PE,2021-10-24 21:25:30,-5.5569,-80.8222,76.51,58,18,16.22
72,Hithadhoo,MV,2021-10-24 21:21:15,-0.6,73.0833,82.09,75,59,15.19
73,Gerash,IR,2021-10-24 21:25:31,27.6652,54.1371,66.34,29,0,4.12
74,Bentiu,SS,2021-10-24 21:25:31,9.2333,29.8333,81.05,46,13,1.97
75,Tokur,RU,2021-10-24 21:25:31,53.1333,132.9,20.32,97,63,3.49
76,Nikolskoye,RU,2021-10-24 21:20:41,59.7035,30.7861,34.02,82,81,5.08
77,Deputatskiy,RU,2021-10-24 21:25:32,69.3,139.9,-0.62,98,100,1.3
78,Souillac,MU,2021-10-24 21:21:10,-20.5167,57.5167,74.35,78,40,11.5
79,Porto Novo,BJ,2021-10-24 21:20:36,6.4965,2.6036,80.42,82,57,4.56
80,Mount Gambier,AU,2021-10-24 21:25:32,-37.8333,140.7667,49.91,71,90,5.75
81,Mahebourg,MU,2021-10-24 21:25:32,-20.4081,57.7,74.25,78,40,11.5
82,East London,ZA,2021-10-24 21:25:33,-33.0153,27.9116,61.07,74,64,11.92
83,Flin Flon,CA,2021-10-24 21:25:33,54.7682,-101.865,40.84,65,75,11.5
84,Te Anau,NZ,2021-10-24 21:25:33,-45.4167,167.7167,53.96,95,100,0.74
85,Mahajanga,MG,2021-10-24 21:25:34,-15.7167,46.3167,75.22,88,40,3.44
86,Vostok,RU,2021-10-24 21:21:30,46.4856,135.8833,30.92,75,0,5.17
87,Saint-Pierre,RE,2021-10-24 21:25:34,-21.3393,55.4781,74.57,76,75,6.91
88,Bathsheba,BB,2021-10-24 21:25:34,13.2167,-59.5167,81.21,83,75,12.66
89,Montmagny,FR,2021-10-24 21:25:35,48.9734,2.3469,52.02,85,0,4.61
90,San Patricio,US,2021-10-24 21:25:35,28.017,-97.5169,92.12,45,0,9.98
91,Victoria,HK,2021-10-24 21:25:35,22.2855,114.1577,70.25,74,25,1.01
92,Sivaki,RU,2021-10-24 21:25:35,52.6333,126.75,33.35,88,27,3.27
93,Aripuana,BR,2021-10-24 21:25:36,-9.1667,-60.6333,88.54,54,70,3.04
94,Port Alfred,ZA,2021-10-24 21:25:36,-33.5906,26.891,59.36,75,14,11.03
95,Los Llanos De Aridane,ES,2021-10-24 21:21:39,28.6585,-17.9182,69.55,88,75,1.99
96,Jalu,LY,2021-10-24 21:25:36,29.0331,21.5482,75.49,29,24,10.85
97,Bengkulu,ID,2021-10-24 21:25:37,-3.8004,102.2655,74.84,89,98,3.8
98,Ponta Do Sol,PT,2021-10-24 21:25:37,32.6667,-17.1,71.71,72,98,6.44
99,Atuona,PF,2021-10-24 21:22:59,-9.8,-139.0333,77.94,71,2,18.12
100,Alofi,NU,2021-10-24 21:25:37,-19.0595,-169.9187,80.49,54,81,18.41
101,Butaritari,KI,2021-10-24 21:25:38,3.0707,172.7902,80.35,71,1,2.57
102,Carnarvon,AU,2021-10-24 21:25:38,-24.8667,113.6333,68.07,73,40,13.8
103,San Juan De Los Morros,VE,2021-10-24 21:25:38,9.9115,-67.3538,82.96,63,74,3.98
104,Ambilobe,MG,2021-10-24 21:25:39,-13.2,49.05,76.64,77,83,6.02
105,Ahipara,NZ,2021-10-24 21:24:05,-35.1667,173.1667,64.36,76,22,2.89
106,Eyl,SO,2021-10-24 21:25:39,7.9803,49.8164,77.97,78,56,9.22
107,Naze,JP,2021-10-24 21:24:34,28.3667,129.4833,71.47,68,91,11.01
108,Avarua,CK,2021-10-24 21:23:02,-21.2078,-159.775,77.05,61,75,12.66
109,Port Elizabeth,ZA,2021-10-24 21:21:13,-33.918,25.5701,54.1,87,40,2.3
110,Hualmay,PE,2021-10-24 21:20:44,-11.0964,-77.6139,66.65,74,20,11.61
111,Thinadhoo,MV,2021-10-24 21:25:39,0.5333,72.9333,83.07,71,65,16.08
112,Rumphi,MW,2021-10-24 21:25:40,-11.0186,33.8575,73.78,40,3,7.07
113,Jumilla,ES,2021-10-24 21:25:40,38.4792,-1.325,59.05,80,0,2.59
114,Pevek,RU,2021-10-24 21:25:40,69.7008,170.3133,6.42,93,100,3.8
115,Chapais,CA,2021-10-24 21:24:18,49.7834,-74.8492,42.58,68,98,4.45
116,Londiani,KE,2021-10-24 21:25:41,-0.165,35.5909,54.97,82,25,5.88
117,Santo Domingo,DO,2021-10-24 21:25:41,18.5001,-69.9886,89.24,66,20,1.99
118,Tiksi,RU,2021-10-24 21:25:41,71.6872,128.8694,0.37,100,100,4.72
119,San Quintin,MX,2021-10-24 21:25:42,30.4833,-115.95,67.69,66,20,16.8
120,Barrow,US,2021-10-24 21:25:42,71.2906,-156.7887,26.62,86,90,4.61
121,Kapaa,US,2021-10-24 21:25:42,22.0752,-159.319,82.72,74,75,4.0
122,Salta,AR,2021-10-24 21:25:42,-24.7859,-65.4117,79.09,31,40,8.01
123,Bethel,US,2021-10-24 21:25:43,41.3712,-73.414,57.49,70,90,5.75
124,Saskylakh,RU,2021-10-24 21:25:43,71.9167,114.0833,-13.94,100,67,4.03
125,Tasiilaq,GL,2021-10-24 21:23:22,65.6145,-37.6368,30.36,92,100,33.58
126,Chuy,UY,2021-10-24 21:25:44,-33.6971,-53.4616,65.64,57,0,8.99
127,Lompoc,US,2021-10-24 21:24:01,34.6391,-120.4579,71.74,69,90,10.36
128,Geraldton,AU,2021-10-24 21:20:55,-28.7667,114.6,64.13,88,75,0.0
129,Impfondo,CG,2021-10-24 21:25:26,1.6381,18.0667,70.97,96,83,2.19
130,Tiznit,MA,2021-10-24 21:25:44,29.5833,-9.5,67.41,55,100,0.78
131,Bakchar,RU,2021-10-24 21:25:45,57.0186,82.0711,44.31,88,100,7.52
132,Saint-Joseph,RE,2021-10-24 21:25:45,-21.3667,55.6167,73.47,82,41,13.98
133,Kirakira,SB,2021-10-24 21:23:40,-10.4544,161.9205,82.76,76,46,8.05
134,Salvador,SV,2021-10-24 21:25:45,13.8333,-88.9167,80.64,71,41,4.59
135,Saint George,US,2021-10-24 21:25:46,37.1041,-113.5841,75.67,32,1,1.01
136,Brae,GB,2021-10-24 21:24:09,60.3964,-1.353,51.71,88,98,11.3
137,Lilongwe,MW,2021-10-24 21:25:46,-13.9669,33.7873,78.69,35,4,5.23
138,La Ronge,CA,2021-10-24 21:25:02,55.1001,-105.2842,41.25,70,75,16.11
139,Longyearbyen,SJ,2021-10-24 21:21:34,78.2186,15.6401,17.44,79,40,6.91
140,Tibiri,NE,2021-10-24 21:25:46,13.5627,7.0485,88.65,13,26,8.93
141,Tuatapere,NZ,2021-10-24 21:20:51,-46.1333,167.6833,57.33,89,98,2.86
142,Zhezkazgan,KZ,2021-10-24 21:25:47,47.8043,67.7144,45.1,49,70,7.0
143,Airai,TL,2021-10-24 21:25:47,-8.9266,125.4092,61.0,83,97,1.23
